Security;GTBRL1YR Corp                                                   ;;;Security;GTBRL2YR Corp                                                   ;;;Security;GTBRL3YR Corp                                                   ;;;Security;GTBRL4YR Corp                                                   ;
Start Date;11/10/2000 00:00;;;Start Date;11/10/2000 00:00;;;Start Date;11/10/2000 00:00;;;Start Date;11/10/2000 00:00;
End Date;11/10/2022 00:00;;;End Date;11/10/2022 00:00;;;End Date;11/10/2022 00:00;;;End Date;11/10/2022 00:00;
Period;M;;;Period;M;;;Period;M;;;Period;M;
Currency;BRL;;;Currency;BRL;;;Currency;BRL;;;Currency;BRL;
;;;;;;;;;;;;;;
Date;PX_LAST;YLD_CNV_LAST;;Date;PX_LAST;YLD_CNV_LAST;;Date;PX_LAST;YLD_CNV_LAST;;Date;PX_LAST;YLD_CNV_LAST
30/11/2016;12,3775;12,3775;;31/01/2017;10,3775;10,3775;;31/07/2017;8,7175;8,7175;;31/03/2015;13,1939;13,1939
30/12/2016;11,49;11,49;;28/02/2017;9,8475;9,8475;;31/08/2017;8,54;8,54;;27/02/2015;12,5179;12,5179
31/01/2017;10,825;10,825;;31/03/2017;9,58365;9,5837;;29/09/2017;8,6498;8,6498;;30/01/2015;12,1896;12,1896
28/02/2017;10,2725;10,2725;;28/04/2017;9,4888;9,4888;;31/10/2017;8,8264;8,8264;;31/12/2014;12,8413;12,8413
31/03/2017;9,674999;9,675;;31/05/2017;9,47215;9,4721;;30/11/2017;8,95935;8,9594;;28/11/2014;12,0726;12,0726
28/04/2017;9,32;9,32;;30/06/2017;9,0862;9,0862;;29/12/2017;8,6328;8,6328;;31/10/2014;12,3881;12,3881
31/05/2017;9,1425;9,1425;;31/07/2017;8,2517;8,2517;;31/01/2018;8,47075;8,4708;;30/09/2014;12,45015;12,4502
30/06/2017;8,7325;8,7325;;31/08/2017;7,94315;7,9432;;28/02/2018;8,0684;8,0684;;29/08/2014;11,3709;11,3709
31/07/2017;7,955;7,955;;29/09/2017;7,93595;7,936;;30/03/2018;7,5532;7,5532;;31/07/2014;11,71705;11,7171
31/08/2017;7,53;7,53;;31/10/2017;8,15295;8,153;;30/04/2018;8,3225;8,3225;;30/06/2014;11,87065;11,8707
29/09/2017;7,1234;7,1234;;30/11/2017;8,1341;8,1341;;31/05/2018;9,27745;9,2775;;30/05/2014;11,75705;11,7571
31/10/2017;7,06865;7,0687;;29/12/2017;7,78165;7,7817;;29/06/2018;9,665;9,665;;30/04/2014;12,37025;12,3703
30/11/2017;6,8711;6,8711;;31/01/2018;7,691;7,691;;31/07/2018;9,315001;9,315;;31/03/2014;12,5935;12,5935
29/12/2017;6,8175;6,8175;;28/02/2018;7,27795;7,278;;31/08/2018;10,225;10,225;;28/02/2014;12,42235;12,4224
31/01/2018;6,7575;6,7575;;30/03/2018;6,77305;6,7731;;28/09/2018;10,03;10,03;;31/01/2014;13,14315;13,1432
28/02/2018;6,5475;6,5475;;30/04/2018;7,2124;7,2124;;31/10/2018;8,47395;8,474;;31/12/2013;12,649;12,649
30/03/2018;6,19;6,19;;31/05/2018;7,9748;7,9748;;30/11/2018;8,35705;8,357;;29/11/2013;12,52855;12,5285
30/04/2018;6,2871;6,2871;;29/06/2018;8,5414;8,5414;;31/12/2018;8,3459;8,3459;;31/10/2013;11,5519;11,5519
31/05/2018;7,00095;7,001;;31/07/2018;8,13325;8,1333;;31/01/2019;7,92645;7,9265;;30/09/2013;11,42935;11,4294
29/06/2018;7,59;7,59;;31/08/2018;8,9351;8,9351;;28/02/2019;8,0755;8,0755;;30/08/2013;11,91933;11,9193
31/07/2018;7,2225;7,2225;;28/09/2018;8,57755;8,5776;;29/03/2019;8,03635;8,0364;;31/07/2013;10,76591;10,7659
31/08/2018;7,87;7,87;;31/10/2018;7,4333;7,4333;;30/04/2019;8,05435;8,0544;;28/06/2013;10,87416;10,8742
28/09/2018;7,92025;7,9203;;30/11/2018;7,2385;7,2385;;31/05/2019;7,3471;7,3471;;31/05/2013;9,797515;9,7975
31/10/2018;6,90945;6,9095;;31/12/2018;7,7783;7,7783;;28/06/2019;6,50695;6,507;;30/04/2013;8,86791;8,8679
30/11/2018;6,7875;6,7875;;31/01/2019;7,3511;7,3511;;31/07/2019;6,1614;6,1614;;29/03/2013;9,34534;9,3453
31/12/2018;6,9402;6,9402;;28/02/2019;7,5305;7,5305;;30/08/2019;6,37495;6,375;;28/02/2013;8,965115;8,9651
31/01/2019;6,62815;6,6282;;29/03/2019;7,50645;7,5065;;30/09/2019;5,8475;5,8475;;31/01/2013;8,723885;8,7239
28/02/2019;6,77715;6,7772;;30/04/2019;7,50865;7,5087;;31/10/2019;5,1963;5,1963;;31/12/2012;8,32758;8,3276
29/03/2019;6,6102;6,6102;;31/05/2019;6,80485;6,8049;;29/11/2019;5,64135;5,6414;;30/11/2012;8,617745;8,6177
30/04/2019;6,5523;6,5523;;28/06/2019;6,0826;6,0826;;31/12/2019;5,5535;5,5535;;31/10/2012;8,40779;8,4078
31/05/2019;6,21215;6,2122;;31/07/2019;5,70315;5,7032;;31/01/2020;5,30745;5,3075;;28/09/2012;8,8225;8,8225
28/06/2019;5,81225;5,8123;;30/08/2019;5,83035;5,8304;;28/02/2020;4,83935;4,8393;;31/08/2012;8,877501;8,8775
31/07/2019;5,43395;5,434;;30/09/2019;5,274;5,274;;31/03/2020;5,98105;5,9811;;31/07/2012;8,84;8,84
30/08/2019;5,34205;5,3421;;31/10/2019;4,7107;4,7107;;30/04/2020;5,4647;5,4647;;29/06/2012;9,1314;9,1314
30/09/2019;4,8648;4,8648;;29/11/2019;5,0369;5,0369;;29/05/2020;4,84895;4,849;;31/05/2012;9,5514;9,5514
31/10/2019;4,45515;4,4552;;31/12/2019;4,9234;4,9234;;30/06/2020;4,6332;4,6332;;30/04/2012;9,98215;9,9822
29/11/2019;4,5676;4,5676;;31/01/2020;4,68735;4,6874;;31/07/2020;4,302;4,302;;30/03/2012;10,6263;10,6263
31/12/2019;4,4224;4,4224;;28/02/2020;4,2449;4,2449;;31/08/2020;5,32025;5,3203;;29/02/2012;10,71905;10,7191
31/01/2020;4,51695;4,5169;;31/03/2020;4,7913;4,7913;;30/09/2020;5,8664;5,8664;;29/07/2011;12,82375;12,8238
28/02/2020;4,15275;4,1528;;30/04/2020;4,27565;4,2757;;30/10/2020;6,3797;6,3797;;30/06/2011;12,6476;12,6476
31/03/2020;3,4069;3,4069;;29/05/2020;3,78025;3,7803;;30/11/2020;6,4189;6,4189;;31/05/2011;12,54475;12,5448
30/04/2020;2,92665;2,9267;;30/06/2020;3,5772;3,5772;;31/12/2020;5,37425;5,3743;;29/04/2011;12,76965;12,7697
29/05/2020;2,40885;2,4089;;31/07/2020;3,30845;3,3085;;29/01/2021;6,04805;6,0481;;31/03/2011;13,0512;13,0512
30/06/2020;2,68995;2,69;;31/08/2020;3,61075;3,6108;;26/02/2021;6,967;6,967;;28/02/2011;12,7198;12,7198
31/07/2020;2,51465;2,5147;;30/09/2020;4,32315;4,3232;;31/03/2021;8,0953;8,0953;;31/01/2011;13,0201;13,0201
31/08/2020;2,666;2,666;;30/10/2020;4,90595;4,906;;30/04/2021;7,88085;7,8809;;31/12/2010;10,5443;10,5443
30/09/2020;2,83455;2,8346;;30/11/2020;4,881;4,881;;31/05/2021;8,00465;8,0047;;30/11/2010;12,4099;12,4099
30/10/2020;3,1062;3,1062;;31/12/2020;4,33845;4,3385;;30/06/2021;8,1026;8,1026;;29/10/2010;11,845;11,845
